,tag,sample.number,partner.sample,substrate,site,species,rh,dbh,growth.per.yr,elevation,latitude,longitude,L.C,L.N,L.P,K.P,L.S,L.Ca,L.Mg,L.Mn,L.Cu,L.Zn,L.B,L.Mo,L.Na,L.Fe,moist,rocks,C,N,OM.new,CN.ratio,NO3,pH,P,K,Mn,Cu,Zn,Fe,B,Ca,Mg,CEC
F9,206,302,31,soil,rs17,tabr,57,10.8,0.020002738,500,44.221,122.239,48.256,0.946,0.115361891,0.108714919,0.093,0.412456918,0.064647957,483.5056622,3.938946332,24.61841457,7.877892664,0.492368291,92.5652388,49.23682915,52.9209622,3.793598766,6.849,0.365,13.698,18.76438356,0.815578465,6.04,81.72727273,103.5454545,86.72727273,0.545454545,3.181818182,105.7272727,0.728476821,2.868636364,0.476515152,3.610652681
G6,213,257,107,soil,rs17,tabr,57,14.7,0,500,44.221,122.239,48.55,0.849,0.093247588,0.296233349,0.083,0.344235186,0.082958199,375.2870923,3.215434084,30.31694993,6.430868167,na,43.63803399,33.99173174,54.09836066,1.253818683,11.458,0.375,22.916,30.55466667,0.287943794,5.92,13.42857143,191.5238095,59.52380952,0.666666667,1.333333333,114,0.512557663,4.192857143,1.093650794,5.777594628
Needles-A7,717,98,259,needle,rs17,tabr,57,12.7,0.080010953,500,44.221,122.239,48.187,1.018,0.091814596,0.131213018,0.116,0.417061144,0.117455621,585.7988166,5.424063116,24.1617357,4.930966469,na,67.55424063,20.71005917,50.23474178,1.401355851,10.842,0.301,21.684,36.01993355,0.374084507,6.21,45.33333333,129.6190476,56.85714286,0.952380952,4.666666667,244.5714286,0.634920635,2.718095238,0.566666667,3.617118437
Needles-B8,213,107,257,needle,rs17,tabr,57,14.7,0,500,44.221,122.239,48.55,0.849,0.093247588,0.296233349,0.083,0.344235186,0.082958199,375.2870923,3.215434084,30.31694993,6.430868167,na,43.63803399,33.99173174,54.09836066,1.253818683,11.458,0.375,22.916,30.55466667,0.287943794,5.92,13.42857143,191.5238095,59.52380952,0.666666667,1.333333333,114,0.512557663,4.192857143,1.093650794,5.777594628
Needles-C2,653,26,317,needle,rs17,tabr,57,10.4,0.280038335,500,44.221,122.239,49.026,1.11,0.097130134,0.055764473,0.097,0.459030183,0.089559624,669.9653637,3.958436418,33.151905,7.422068283,0.494804552,88.57001484,61.35576447,66.66666667,11.76540566,5.055,0.259,10.11,19.51737452,0.679861111,5.89,84.36363636,80.18181818,69.27272727,0.545454545,3,152.3636364,0.7,1.431363636,0.372727273,2.009685315
Needles-F3,206,31,302,needle,rs17,tabr,57,10.8,0.020002738,500,44.221,122.239,48.256,0.946,0.115361891,0.108714919,0.093,0.412456918,0.064647957,483.5056622,3.938946332,24.61841457,7.877892664,0.492368291,92.5652388,49.23682915,52.9209622,3.793598766,6.849,0.365,13.698,18.76438356,0.815578465,6.04,81.72727273,103.5454545,86.72727273,0.545454545,3.181818182,105.7272727,0.728476821,2.868636364,0.476515152,3.610652681
Needles-H4,211,43,316,needle,rs17,tabr,57,15,0.040005476,500,44.221,122.239,47.997,1.673,0.17972973,0.156660232,0.101,0.334073359,0.104826255,229.2471042,2.895752896,29.44015444,9.16988417,0.482625483,106.1776062,66.11969112,46.91943128,0.68878357,2.506,0.182,5.012,13.76923077,3.060476604,6.1,32.7,89.4,71.5,0.6,1.4,91.7,0.303030303,2.24,0.7775,3.246730769
A4,227,247,67,soil,rs20,tshe,59,7.6,0.489939638,700,44.222,122.249,na,na,0.200740349,0.206451613,na,0.540930724,0.141723956,641.9883659,4.230565838,5.288207298,5.288207298,na,122.1575886,51.82443152,66.15384615,11.32323331,6.392,0.263,12.784,24.30418251,0.052823077,6.06,93.75,365.4166667,268.75,2.083333333,5.416666667,771.6666667,0.638722555,16.5125,4.927083333,22.37654915
A9,1860,307,54,soil,rs20,psme,59,19.4,0.097987928,700,44.222,122.249,46.991,0.858,0.247325301,0.250216867,0.106,0.994746988,0.12053012,509.3975904,2.409638554,8.192771084,4.819277108,na,100.7228916,39.51807229,179.0697674,15.40465116,35.59,1.094,71.18,32.53199269,2.344186047,5.59,61.8,121.8,326.2,0.9,5.7,249.2,2.682926829,9.7255,1.2775,11.31530769
B5,230,254,83,soil,rs20,tshe,59,8.2,0.51443662,700,44.222,122.249,46.11,0.789,0.219931102,0.193061024,0.112,0.771751969,0.132135827,1055.610236,4.921259843,3.44488189,13.28740157,na,67.42125984,44.78346457,87.05035971,53.46512834,11.374,0.405,22.748,28.08395062,0.243677934,6.01,66.27272727,101.8181818,118.1818182,0.636363636,2.363636364,237.6363636,1.595092025,5.270909091,0.992424242,6.524405594
